City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Puerto Escondido,MX,77.67,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
4,Hithadhoo,MV,82.06,broken clouds,-0.6,73.0833,Scoop Guest House
8,Ponta Do Sol,PT,81.12,few clouds,32.6667,-17.1,Hotel do Campo
11,Gouyave,GD,79.02,broken clouds,12.1646,-61.7296,Rumboat Retreat
12,Bethel,US,79.63,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
13,Dawei,MM,89.87,scattered clouds,14.0833,98.2,Hotel Dawei
19,Jalu,LY,79.16,clear sky,29.0331,21.5482,صاحبة الفخامة
33,Kitaibaraki,JP,83.37,overcast clouds,36.7833,140.75,Isohara Seaside Hotel
37,Huilong,CN,88.93,broken clouds,31.8111,121.655,Hilton Garden Inn Qidong
40,Itarema,BR,78.91,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
46,Faanui,PF,77.83,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
47,Hambantota,LK,86.34,broken clouds,6.1241,81.1185,Bungalow 63
48,Chipiona,ES,84.42,clear sky,36.7366,-6.437,Al Sur De Chipiona
53,Bajos De Haina,DO,78.33,scattered clouds,18.4154,-70.0332,Familia García Santana
54,Sur,OM,88.97,light rain,22.5667,59.5289,Sur Plaza Hotel
57,Lucea,JM,76.86,overcast clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
59,Pandan,PH,87.37,scattered clouds,14.0453,124.1694,Bonifacio Lodge
61,Bridgetown,BB,79.29,scattered clouds,13.1,-59.6167,Hilton Barbados Resort
63,Darnah,LY,79.38,clear sky,32.767,22.6367,فندق الفردوس
67,Butaritari,KI,82.81,few clouds,3.0707,172.7902,Isles Sunset Lodge
70,Rikitea,PF,75.25,few clouds,-23.1203,-134.9692,People ThankYou
75,Gizo,SB,83.95,scattered clouds,-8.103,156.8419,Imagination Island
77,Matamoros,MX,82.99,scattered clouds,25.5333,-103.25,Quinta Belem
82,Georgetown,MY,87.73,few clouds,5.4112,100.3354,Cititel Penang
86,Port Moresby,PG,81.55,scattered clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
89,Kapaa,US,82.38,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
95,Sao Filipe,CV,77.45,overcast clouds,14.8961,-24.4956,Hotel Xaguate
102,Moirang,IN,78.91,overcast clouds,24.5,93.7667,"Lake View Hotel, Moirang"
105,Laguna,US,80.74,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
113,Vila Franca Do Campo,PT,75.2,scattered clouds,37.7167,-25.4333,Pestana Bahia Praia
114,Khandyga,RU,82.2,clear sky,62.6667,135.6,Apel'sin
117,Cabo San Lucas,MX,83.61,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
119,Bengkulu,ID,80.46,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
121,Bontang,ID,81.32,broken clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
122,Sola,VU,80.69,few clouds,-13.8833,167.55,Leumerus Bungalows
125,Polis,CY,82.22,clear sky,35.0367,32.4264,Marion
129,Atuona,PF,76.48,clear sky,-9.8,-139.0333,Villa Enata
139,Nouadhibou,MR,75.18,broken clouds,20.931,-17.0347,El Medina
141,Kunming,CN,79.38,clear sky,25.0389,102.7183,昆明佳华广场酒店
144,Dakar,SN,76.08,overcast clouds,14.6937,-17.4441,Novotel Dakar
152,Sabang,ID,81.64,overcast clouds,5.8933,95.3214,Hotel Citra
156,Martapura,ID,87.89,few clouds,-3.4167,114.85,Montana Hotel Syariah
