City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Puerto Escondido,MX,15.85,-97.0667,77.67,83,99,4.32,overcast clouds
1,East London,ZA,-33.0153,27.9116,57.79,59,93,3.11,overcast clouds
2,Poya,NC,-21.35,165.15,74.57,68,8,8.28,clear sky
3,Riyadh,SA,24.6877,46.7219,98.74,15,75,15.55,broken clouds
4,Hithadhoo,MV,-0.6,73.0833,82.06,72,61,8.03,broken clouds
5,Kaitangata,NZ,-46.2817,169.8464,46.17,91,97,13.29,overcast clouds
6,College,US,64.8569,-147.8028,71.58,41,40,4.61,scattered clouds
7,Narsaq,GL,60.9167,-46.05,48.42,75,96,4.38,overcast clouds
8,Ponta Do Sol,PT,32.6667,-17.1,81.12,37,20,3.6,few clouds
9,Mahebourg,MU,-20.4081,57.7,72.25,66,61,10.18,broken clouds
10,Abu Samrah,SY,35.3029,37.1841,79.97,27,0,5.35,clear sky
11,Gouyave,GD,12.1646,-61.7296,79.02,80,57,10.13,broken clouds
12,Bethel,US,41.3712,-73.414,79.63,79,0,0.0,clear sky
13,Dawei,MM,14.0833,98.2,89.87,63,50,2.71,scattered clouds
14,Sisimiut,GL,66.9395,-53.6735,44.87,85,83,6.82,broken clouds
15,Avarua,CK,-21.2078,-159.775,68.05,73,75,8.05,broken clouds
16,Fortuna,US,40.5982,-124.1573,55.92,87,35,2.51,scattered clouds
17,Yellowknife,CA,62.456,-114.3525,56.37,84,97,12.62,overcast clouds
18,Upernavik,GL,72.7868,-56.1549,37.36,98,97,9.17,overcast clouds
19,Jalu,LY,29.0331,21.5482,79.16,30,0,7.99,clear sky
20,Halifax,CA,44.6453,-63.5724,66.49,96,73,3.0,broken clouds
21,Punta Arenas,CL,-53.15,-70.9167,35.71,69,0,16.11,clear sky
22,Mataura,NZ,-46.1927,168.8643,45.48,91,87,3.91,overcast clouds
23,Betafo,MG,-19.8333,46.85,57.54,67,1,3.44,clear sky
24,Lebu,CL,-37.6167,-73.65,53.55,90,100,14.65,moderate rain
25,Adrar,MR,20.5022,-10.0711,90.25,34,1,17.02,clear sky
26,Ha Tinh,VN,18.3333,105.9,91.38,52,35,5.57,scattered clouds
27,Kodiak,US,57.79,-152.4072,56.71,88,100,3.44,overcast clouds
28,Opmeer,NL,52.7067,4.9444,71.01,69,100,1.01,overcast clouds
29,Dauphin,CA,51.1494,-100.0502,53.71,89,13,7.31,few clouds
30,Mar Del Plata,AR,-38.0023,-57.5575,51.1,95,100,9.22,overcast clouds
31,Yar-Sale,RU,66.8333,70.8333,54.95,65,96,14.18,overcast clouds
32,Moree,AU,-29.4667,149.85,69.17,44,68,7.02,broken clouds
33,Kitaibaraki,JP,36.7833,140.75,83.37,72,93,5.64,overcast clouds
34,Jurilovca,RO,44.7667,28.8667,72.03,82,83,13.13,broken clouds
35,Lavrentiya,RU,65.5833,-171.0,42.06,89,100,10.0,light rain
36,Qarchi Gak,AF,37.04,66.7889,101.7,10,0,13.89,clear sky
37,Huilong,CN,31.8111,121.655,88.93,77,58,11.95,broken clouds
38,Rapid Valley,US,44.0625,-103.1463,67.03,97,100,12.66,moderate rain
39,Bluff,NZ,-46.6,168.3333,45.81,89,71,22.03,broken clouds
40,Itarema,BR,-2.9248,-39.9167,78.91,80,84,16.67,broken clouds
41,New Norfolk,AU,-42.7826,147.0587,58.5,61,68,6.46,broken clouds
42,Kruisfontein,ZA,-34.0033,24.7314,48.88,81,67,4.23,broken clouds
43,Imbituba,BR,-28.24,-48.6703,63.09,99,62,6.6,broken clouds
44,Qaanaaq,GL,77.484,-69.3632,37.47,99,100,4.32,overcast clouds
45,Arraial Do Cabo,BR,-22.9661,-42.0278,70.34,87,51,20.49,broken clouds
46,Faanui,PF,-16.4833,-151.75,77.83,79,37,10.16,light rain
47,Hambantota,LK,6.1241,81.1185,86.34,74,75,6.91,broken clouds
48,Chipiona,ES,36.7366,-6.437,84.42,48,0,6.91,clear sky
49,Port Alfred,ZA,-33.5906,26.891,56.64,61,68,2.98,broken clouds
50,Sitka,US,57.0531,-135.33,55.29,94,100,0.0,light intensity drizzle
51,Qinzhou,CN,21.95,108.6167,93.29,54,0,10.67,clear sky
52,Busselton,AU,-33.65,115.3333,62.46,67,67,20.62,broken clouds
53,Bajos De Haina,DO,18.4154,-70.0332,78.33,86,29,6.89,scattered clouds
54,Sur,OM,22.5667,59.5289,88.97,61,100,9.73,light rain
55,Vaini,TO,-21.2,-175.2,73.56,94,20,8.05,few clouds
56,Golkoy,TR,40.6875,37.6178,63.81,70,0,1.28,clear sky
57,Lucea,JM,18.451,-78.1736,76.86,80,100,9.22,overcast clouds
58,Taoudenni,ML,22.6783,-3.9836,97.52,22,96,2.04,overcast clouds
59,Pandan,PH,14.0453,124.1694,87.37,67,45,7.47,scattered clouds
60,Grindavik,IS,63.8424,-22.4338,48.67,100,75,5.75,broken clouds
61,Bridgetown,BB,13.1,-59.6167,79.29,89,40,11.5,scattered clouds
62,Chokurdakh,RU,70.6333,147.9167,72.72,29,32,11.39,scattered clouds
63,Darnah,LY,32.767,22.6367,79.38,71,0,15.52,clear sky
64,Valley City,US,46.9233,-98.0032,57.72,94,0,4.61,clear sky
65,Totskoye,RU,52.5248,52.7623,73.06,64,93,6.29,overcast clouds
66,Tasiilaq,GL,65.6145,-37.6368,41.16,87,92,2.77,overcast clouds
67,Butaritari,KI,3.0707,172.7902,82.81,70,11,19.3,few clouds
68,Albany,US,42.6001,-73.9662,73.27,87,100,9.78,overcast clouds
69,Dunedin,NZ,-45.8742,170.5036,50.81,84,98,11.01,overcast clouds
70,Rikitea,PF,-23.1203,-134.9692,75.25,81,15,18.57,few clouds
71,Dikson,RU,73.5069,80.5464,48.4,89,100,8.9,overcast clouds
72,Hobart,AU,-42.8794,147.3294,58.86,77,75,12.66,broken clouds
73,Vila Velha,BR,-20.3297,-40.2925,67.95,95,100,2.3,mist
74,Marfino,RU,55.7028,37.3822,70.88,68,0,4.47,clear sky
75,Gizo,SB,-8.103,156.8419,83.95,71,30,7.67,scattered clouds
76,Shawnee,US,39.05,-95.7669,74.62,90,0,5.75,thunderstorm
77,Matamoros,MX,25.5333,-103.25,82.99,34,48,8.84,scattered clouds
78,Norman Wells,CA,65.282,-126.8329,61.9,61,60,3.29,broken clouds
79,Chapais,CA,49.7834,-74.8492,61.0,99,100,4.59,overcast clouds
80,Ushuaia,AR,-54.8,-68.3,35.26,64,0,2.3,clear sky
81,Cape Town,ZA,-33.9258,18.4232,56.37,76,0,1.99,clear sky
82,Georgetown,MY,5.4112,100.3354,87.73,70,20,2.3,few clouds
83,Broome,US,42.2506,-75.833,72.01,91,20,9.22,few clouds
84,Matadi,CD,-5.8167,13.45,71.08,85,98,3.6,overcast clouds
85,Pailon,BO,-17.65,-62.75,74.3,74,1,4.9,clear sky
86,Port Moresby,PG,-9.4431,147.1797,81.55,77,36,20.71,scattered clouds
87,Berdigestyakh,RU,62.0989,126.6992,83.16,36,8,4.68,clear sky
88,Bredasdorp,ZA,-34.5322,20.0403,44.74,87,0,4.7,clear sky
89,Kapaa,US,22.0752,-159.319,82.38,76,75,14.97,broken clouds
90,Hermanus,ZA,-34.4187,19.2345,48.9,77,0,11.41,clear sky
91,Ribeira Grande,PT,38.5167,-28.7,73.89,90,11,4.9,few clouds
92,Clyde River,CA,70.4692,-68.5914,39.74,95,97,0.78,overcast clouds
93,Roald,NO,62.5833,6.1333,65.16,88,75,5.75,broken clouds
94,Krasnoselkup,RU,65.7,82.4667,52.88,93,100,13.96,light rain
95,Sao Filipe,CV,14.8961,-24.4956,77.45,86,91,11.79,overcast clouds
96,Kontagora,NG,10.3999,5.4695,71.37,95,100,1.7,light rain
97,Porto Novo,BJ,6.4965,2.6036,74.48,83,100,5.39,overcast clouds
98,Jamestown,US,42.097,-79.2353,70.52,87,100,19.57,heavy intensity rain
99,Moranbah,AU,-22.0016,148.0466,74.66,45,0,8.63,clear sky
100,North Bend,US,43.4065,-124.2243,59.92,97,100,13.8,overcast clouds
101,Saint-Philippe,RE,-21.3585,55.7679,71.19,71,17,8.05,few clouds
102,Moirang,IN,24.5,93.7667,78.91,83,91,3.6,overcast clouds
103,Ilulissat,GL,69.2167,-51.1,36.57,98,97,2.39,overcast clouds
104,Guerrero Negro,MX,27.9769,-114.0611,68.41,82,14,8.57,few clouds
105,Laguna,US,38.421,-121.4238,80.74,49,0,5.75,clear sky
106,Ketchikan,US,55.3422,-131.6461,57.67,100,100,8.05,mist
107,Nikolskoye,RU,59.7035,30.7861,64.8,81,25,4.18,scattered clouds
108,Hualmay,PE,-11.0964,-77.6139,61.14,87,55,10.87,broken clouds
109,Carutapera,BR,-1.195,-46.02,74.77,95,84,4.52,broken clouds
110,Lucapa,AO,-8.4192,20.7447,64.47,36,45,4.74,scattered clouds
111,Barillas,GT,15.8036,-91.3158,57.74,94,57,3.29,broken clouds
112,Constitucion,CL,-35.3333,-72.4167,52.79,92,100,10.4,overcast clouds
113,Vila Franca Do Campo,PT,37.7167,-25.4333,75.2,89,40,3.2,scattered clouds
114,Khandyga,RU,62.6667,135.6,82.2,39,6,5.23,clear sky
115,Rawson,AR,-43.3002,-65.1023,40.8,79,70,7.56,broken clouds
116,Lata,PT,40.1629,-8.3327,60.08,89,0,2.39,clear sky
117,Cabo San Lucas,MX,22.8909,-109.9124,83.61,79,35,4.0,scattered clouds
118,Penalva,BR,-3.2942,-45.1736,73.42,91,96,3.8,overcast clouds
119,Bengkulu,ID,-3.8004,102.2655,80.46,84,99,8.77,overcast clouds
120,Sindor,RU,62.8629,51.8905,62.55,54,65,2.59,broken clouds
121,Bontang,ID,0.1333,117.5,81.32,83,75,4.85,broken clouds
122,Sola,VU,-13.8833,167.55,80.69,76,12,9.6,few clouds
123,Saint George,US,37.1041,-113.5841,91.99,31,20,4.61,few clouds
124,Wladyslawowo,PL,54.7909,18.4009,69.01,61,78,6.26,broken clouds
125,Polis,CY,35.0367,32.4264,82.22,33,0,2.71,clear sky
126,Nioro,GM,13.35,-15.75,74.03,88,97,4.72,overcast clouds
127,Charters Towers,AU,-20.1,146.2667,74.95,40,0,10.89,clear sky
128,Birjand,IR,32.8663,59.2211,91.2,18,0,5.75,clear sky
129,Atuona,PF,-9.8,-139.0333,76.48,67,2,14.7,clear sky
130,Evensk,RU,61.95,159.2333,60.58,56,11,9.95,few clouds
131,Mineral Wells,US,32.8085,-98.1128,90.27,43,0,5.75,clear sky
132,Sorland,NO,67.667,12.6934,53.46,81,100,17.96,light rain
133,Tuktoyaktuk,CA,69.4541,-133.0374,39.65,83,53,7.38,broken clouds
134,Sheridan,US,44.8333,-106.9173,70.18,68,100,10.36,light rain
135,Airai,TL,-8.9266,125.4092,71.74,42,63,3.85,broken clouds
136,Puerto Ayora,EC,-0.7393,-90.3518,69.55,92,97,7.0,overcast clouds
137,Mareeba,AU,-17.0,145.4333,74.12,67,2,7.16,clear sky
138,Touros,BR,-5.1989,-35.4608,72.19,77,55,16.55,broken clouds
139,Nouadhibou,MR,20.931,-17.0347,75.18,83,53,18.41,broken clouds
140,Carnarvon,AU,-24.8667,113.6333,67.69,32,0,10.67,clear sky
141,Kunming,CN,25.0389,102.7183,79.38,47,10,7.52,clear sky
142,Pevek,RU,69.7008,170.3133,37.35,85,97,6.04,overcast clouds
143,Hasaki,JP,35.7333,140.8333,95.29,82,90,16.91,overcast clouds
144,Dakar,SN,14.6937,-17.4441,76.08,78,88,4.32,overcast clouds
145,Beringovskiy,RU,63.05,179.3167,44.91,76,97,12.03,overcast clouds
146,Port-Gentil,GA,-0.7193,8.7815,73.33,78,99,6.38,overcast clouds
147,Reconquista,AR,-29.15,-59.65,71.74,71,70,7.58,light rain
148,Saint Anthony,US,45.0205,-93.218,67.66,69,0,6.91,clear sky
149,Esperance,AU,-33.8667,121.9,61.05,48,1,15.37,clear sky
150,Sept-Iles,CA,50.2001,-66.3821,62.06,95,100,4.0,light rain
151,Lagoa,PT,39.05,-27.9833,72.52,91,0,7.38,clear sky
152,Sabang,ID,5.8933,95.3214,81.64,78,97,11.81,overcast clouds
153,Geraldton,AU,-28.7667,114.6,63.01,59,0,18.41,clear sky
154,Luderitz,NA,-26.6481,15.1594,62.24,53,0,7.52,clear sky
155,Victoria,HK,22.2855,114.1577,96.96,67,11,8.01,few clouds
156,Martapura,ID,-3.4167,114.85,87.89,55,20,5.75,few clouds
157,Bambous Virieux,MU,-20.3428,57.7575,73.22,65,43,10.4,scattered clouds
158,Marawi,PH,7.9986,124.2928,78.51,81,82,3.49,broken clouds
159,Puerto Madero,MX,14.7208,-92.4215,75.4,100,75,0.0,broken clouds
160,Fayaoue,NC,-20.65,166.5333,75.52,83,36,8.95,scattered clouds
161,Mackenzie,CA,55.2999,-123.1698,56.34,94,95,3.62,overcast clouds
162,Longyearbyen,SJ,78.2186,15.6401,46.24,93,75,5.75,broken clouds
163,Severo-Kurilsk,RU,50.6789,156.125,51.57,96,100,17.94,light rain
164,Wanaka,NZ,-44.7,169.15,35.11,91,100,1.01,overcast clouds
165,Tommot,RU,58.9564,126.2925,89.98,45,44,2.06,scattered clouds
166,Castro,BR,-24.7911,-50.0119,56.3,75,94,3.09,overcast clouds
167,Santa Rita,BR,-7.1139,-34.9781,70.47,94,20,6.91,few clouds
168,Banamba,ML,13.55,-7.45,74.48,86,100,9.64,light rain
169,Donskoy,RU,53.9711,38.3363,73.81,67,10,3.96,clear sky
170,Coatzacoalcos,MX,18.15,-94.4167,78.89,83,100,8.48,overcast clouds
171,Vaitape,PF,-16.5167,-151.75,77.81,79,38,10.13,light rain
172,Bereda,ES,43.2686,-7.5406,56.37,90,61,1.68,broken clouds
173,Olean,US,42.0776,-78.4297,77.68,100,100,8.05,thunderstorm
174,Klaksvik,FO,62.2266,-6.589,49.12,90,83,21.05,broken clouds
175,Sidi Ali,DZ,36.0998,0.4206,74.66,54,0,0.69,clear sky
176,Mahon,ES,39.8885,4.2658,77.56,100,0,2.3,clear sky
177,Manokwari,ID,-0.8667,134.0833,83.5,70,42,7.43,scattered clouds
178,Port Elizabeth,ZA,-33.918,25.5701,51.1,66,83,4.76,broken clouds
179,Westport,US,41.1415,-73.3579,82.02,88,0,10.36,clear sky
180,Tete,MZ,-16.1564,33.5867,64.47,77,0,4.07,clear sky
181,Khatanga,RU,71.9667,102.5,77.95,57,95,12.77,overcast clouds
182,Kameoka,JP,35.0,135.5833,95.68,65,100,2.44,overcast clouds
183,Merauke,ID,-8.4667,140.3333,80.01,78,81,18.39,broken clouds
184,Thompson,CA,55.7435,-97.8558,55.31,61,93,3.69,overcast clouds
185,Tual,ID,-5.6667,132.75,79.9,83,99,16.71,overcast clouds
186,Yumen,CN,40.2833,97.2,91.69,15,28,15.9,scattered clouds
187,Kismayo,SO,-0.3582,42.5454,77.14,69,58,19.57,broken clouds
188,Hilo,US,19.7297,-155.09,80.28,80,40,3.44,scattered clouds
189,Kenai,US,60.5544,-151.2583,62.69,66,100,10.36,overcast clouds
190,Elesbao Veloso,BR,-6.2019,-42.1403,75.27,45,70,7.52,broken clouds
191,High Level,CA,58.5169,-117.136,57.4,61,72,4.43,broken clouds
192,Champerico,GT,14.3,-91.9167,78.1,85,90,5.44,overcast clouds
193,Koungou,YT,-12.7336,45.2042,74.91,83,100,5.75,light rain
194,Saldanha,ZA,-33.0117,17.9442,50.47,56,0,10.33,clear sky
195,Zhigansk,RU,66.7697,123.3711,71.44,53,17,3.96,few clouds
196,Pangai,TO,-19.8,-174.35,74.75,67,72,20.0,broken clouds
197,Cidreira,BR,-30.1811,-50.2056,63.54,88,100,3.2,light rain
198,Payyannur,IN,12.1,75.2,82.08,67,100,5.44,overcast clouds
199,Vao,NC,-22.6667,167.4833,71.67,74,43,13.65,scattered clouds
200,Muriwai Beach,NZ,-36.8167,174.45,57.47,97,100,22.79,light rain
201,Ternate,ID,0.8,127.4,82.89,76,67,9.15,broken clouds
202,Bilibino,RU,68.0546,166.4372,58.91,44,50,13.96,scattered clouds
203,Lalibela,ET,12.0333,39.0333,59.58,81,100,2.35,light rain
204,Kavieng,PG,-2.5744,150.7967,83.86,72,11,7.49,light rain
205,Bogandinskiy,RU,56.8937,65.8938,78.53,64,0,8.43,clear sky
206,Magdagachi,RU,53.45,125.8,87.51,33,6,4.21,clear sky
207,Tura,IN,25.5198,90.2201,80.53,83,100,3.8,overcast clouds
208,Asfi,MA,32.2994,-9.2372,77.63,60,73,10.76,broken clouds
209,Tessalit,ML,20.1986,1.0114,86.72,33,25,6.62,scattered clouds
210,Clovis,US,36.8252,-119.7029,89.49,32,0,9.22,clear sky
211,Doka,SD,13.5167,35.7667,72.21,78,100,5.91,overcast clouds
212,Nago,JP,26.5881,127.9761,90.03,73,100,5.03,overcast clouds
